snapshot_date,sku_id,warehouse_id,on_hand_qty,reserved_qty,last_movement_date,unit_cost
2023-01-01,SKU_017,WH_WEST,553,0,2023-01-01,66.59
2023-01-01,SKU_018,WH_WEST,222,0,2023-01-01,29.79
2023-01-01,SKU_019,WH_WEST,865,0,2023-01-01,87.07
2023-01-01,SKU_020,WH_WEST,512,0,2023-01-01,72.37
2023-01-02,SKU_001,WH_NORTH,194,0,2023-01-02,83.05
2023-01-02,SKU_002,WH_NORTH,777,0,2023-01-02,57.92
2023-01-02,SKU_003,WH_NORTH,688,0,2023-01-02,89.39
2023-01-02,SKU_004,WH_NORTH,470,0,2023-01-02,77.3
2023-01-02,SKU_005,WH_NORTH,470,0,2023-01-02,32.06
2023-01-02,SKU_006,WH_NORTH,827,0,2023-01-02,98.17
2023-01-02,SKU_007,WH_NORTH,194,0,2023-01-02,82.09
2023-01-02,SKU_008,WH_NORTH,705,0,2023-01-02,83.95
2023-01-02,SKU_009,WH_NORTH,288,0,2023-01-02,34.61
2023-01-02,SKU_010,WH_NORTH,182,0,2023-01-02,58.78
2023-01-02,SKU_011,WH_NORTH,540,0,2023-01-02,52.81
2023-01-02,SKU_012,WH_NORTH,928,0,2023-01-02,94.51
2023-01-02,SKU_013,WH_NORTH,747,0,2023-01-02,73.29
2023-01-02,SKU_014,WH_NORTH,770,0,2023-01-02,86.71
2023-01-02,SKU_015,WH_NORTH,708,0,2023-01-02,58.26
2023-01-02,SKU_016,WH_NORTH,782,0,2023-01-02,42.04
2023-01-02,SKU_017,WH_NORTH,527,0,2023-01-02,66.59
2023-01-02,SKU_018,WH_NORTH,218,0,2023-01-02,29.79
2023-01-02,SKU_019,WH_NORTH,824,0,2023-01-02,87.07
2023-01-02,SKU_020,WH_NORTH,483,0,2023-01-02,72.37
2023-01-02,SKU_001,WH_SOUTH,193,0,2023-01-02,83.05
2023-01-02,SKU_002,WH_SOUTH,751,0,2023-01-02,57.92
2023-01-02,SKU_003,WH_SOUTH,670,0,2023-01-02,89.39
2023-01-02,SKU_004,WH_SOUTH,464,0,2023-01-02,77.3
2023-01-02,SKU_005,WH_SOUTH,460,0,2023-01-02,32.06
2023-01-02,SKU_006,WH_SOUTH,796,0,2023-01-02,98.17
2023-01-02,SKU_007,WH_SOUTH,186,0,2023-01-02,82.09
2023-01-02,SKU_008,WH_SOUTH,680,0,2023-01-02,83.95
2023-01-02,SKU_009,WH_SOUTH,278,0,2023-01-02,34.61
2023-01-02,SKU_010,WH_SOUTH,173,0,2023-01-02,58.78
2023-01-02,SKU_011,WH_SOUTH,528,0,2023-01-02,52.81
2023-01-02,SKU_012,WH_SOUTH,901,0,2023-01-02,94.51
2023-01-02,SKU_013,WH_SOUTH,724,0,2023-01-02,73.29
2023-01-02,SKU_014,WH_SOUTH,743,0,2023-01-02,86.71
2023-01-02,SKU_015,WH_SOUTH,686,0,2023-01-02,58.26
2023-01-02,SKU_016,WH_SOUTH,755,0,2023-01-02,42.04
2023-01-02,SKU_017,WH_SOUTH,510,0,2023-01-02,66.59
2023-01-02,SKU_018,WH_SOUTH,207,0,2023-01-02,29.79
2023-01-02,SKU_019,WH_SOUTH,788,0,2023-01-02,87.07
2023-01-02,SKU_020,WH_SOUTH,467,0,2023-01-02,72.37
2023-01-02,SKU_001,WH_EAST,188,0,2023-01-02,83.05
2023-01-02,SKU_002,WH_EAST,727,0,2023-01-02,57.92
2023-01-02,SKU_003,WH_EAST,652,0,2023-01-02,89.39
2023-01-02,SKU_004,WH_EAST,444,0,2023-01-02,77.3
2023-01-02,SKU_005,WH_EAST,445,0,2023-01-02,32.06
2023-01-02,SKU_006,WH_EAST,765,0,2023-01-02,98.17
2023-01-02,SKU_007,WH_EAST,177,0,2023-01-02,82.09
2023-01-02,SKU_008,WH_EAST,659,0,2023-01-02,83.95
2023-01-02,SKU_009,WH_EAST,272,0,2023-01-02,34.61
2023-01-02,SKU_010,WH_EAST,165,0,2023-01-02,58.78
2023-01-02,SKU_011,WH_EAST,505,0,2023-01-02,52.81
2023-01-02,SKU_012,WH_EAST,868,0,2023-01-02,94.51
2023-01-02,SKU_013,WH_EAST,710,0,2023-01-02,73.29
2023-01-02,SKU_014,WH_EAST,719,0,2023-01-02,86.71
2023-01-02,SKU_015,WH_EAST,659,0,2023-01-02,58.26
2023-01-02,SKU_016,WH_EAST,736,0,2023-01-02,42.04
2023-01-02,SKU_017,WH_EAST,485,0,2023-01-02,66.59
2023-01-02,SKU_018,WH_EAST,198,0,2023-01-02,29.79
2023-01-02,SKU_019,WH_EAST,752,0,2023-01-02,87.07
2023-01-02,SKU_020,WH_EAST,442,0,2023-01-02,72.37
2023-01-02,SKU_001,WH_WEST,180,0,2023-01-02,83.05
2023-01-02,SKU_002,WH_WEST,701,0,2023-01-02,57.92
2023-01-02,SKU_003,WH_WEST,615,0,2023-01-02,89.39
2023-01-02,SKU_004,WH_WEST,427,0,2023-01-02,77.3
2023-01-02,SKU_005,WH_WEST,422,0,2023-01-02,32.06
2023-01-02,SKU_006,WH_WEST,731,0,2023-01-02,98.17
2023-01-02,SKU_007,WH_WEST,162,0,2023-01-02,82.09
2023-01-02,SKU_008,WH_WEST,637,0,2023-01-02,83.95
2023-01-02,SKU_009,WH_WEST,257,0,2023-01-02,34.61
2023-01-02,SKU_010,WH_WEST,155,0,2023-01-02,58.78
2023-01-02,SKU_011,WH_WEST,484,0,2023-01-02,52.81
2023-01-02,SKU_012,WH_WEST,837,0,2023-01-02,94.51
2023-01-02,SKU_013,WH_WEST,676,0,2023-01-02,73.29
2023-01-02,SKU_014,WH_WEST,680,0,2023-01-02,86.71
2023-01-02,SKU_015,WH_WEST,624,0,2023-01-02,58.26
2023-01-02,SKU_016,WH_WEST,708,0,2023-01-02,42.04
2023-01-02,SKU_017,WH_WEST,456,0,2023-01-02,66.59
2023-01-02,SKU_018,WH_WEST,188,0,2023-01-02,29.79
2023-01-02,SKU_019,WH_WEST,716,0,2023-01-02,87.07
2023-01-02,SKU_020,WH_WEST,424,0,2023-01-02,72.37
2023-01-03,SKU_001,WH_NORTH,173,0,2023-01-03,83.05
2023-01-03,SKU_002,WH_NORTH,672,0,2023-01-03,57.92
2023-01-03,SKU_003,WH_NORTH,594,0,2023-01-03,89.39
2023-01-03,SKU_004,WH_NORTH,411,0,2023-01-03,77.3
2023-01-03,SKU_005,WH_NORTH,407,0,2023-01-03,32.06
2023-01-03,SKU_006,WH_NORTH,708,0,2023-01-03,98.17
2023-01-03,SKU_007,WH_NORTH,153,0,2023-01-03,82.09
2023-01-03,SKU_008,WH_NORTH,615,0,2023-01-03,83.95
2023-01-03,SKU_009,WH_NORTH,245,0,2023-01-03,34.61
2023-01-03,SKU_010,WH_NORTH,446,0,2023-01-03,58.78
2023-01-03,SKU_011,WH_NORTH,465,0,2023-01-03,52.81
2023-01-03,SKU_012,WH_NORTH,813,0,2023-01-03,94.51
2023-01-03,SKU_013,WH_NORTH,655,0,2023-01-03,73.29
2023-01-03,SKU_014,WH_NORTH,655,0,2023-01-03,86.71
2023-01-03,SKU_015,WH_NORTH,602,0,2023-01-03,58.26
2023-01-03,SKU_016,WH_NORTH,689,0,2023-01-03,42.04
2023-01-03,SKU_017,WH_NORTH,441,0,2023-01-03,66.59
2023-01-03,SKU_018,WH_NORTH,186,0,2023-01-03,29.79
2023-01-03,SKU_019,WH_NORTH,695,0,2023-01-03,87.07
2023-01-03,SKU_020,WH_NORTH,407,0,2023-01-03,72.37
2023-01-03,SKU_001,WH_SOUTH,165,0,2023-01-03,83.05
2023-01-03,SKU_002,WH_SOUTH,634,0,2023-01-03,57.92
2023-01-03,SKU_003,WH_SOUTH,570,0,2023-01-03,89.39
2023-01-03,SKU_004,WH_SOUTH,399,0,2023-01-03,77.3
2023-01-03,SKU_005,WH_SOUTH,388,0,2023-01-03,32.06
2023-01-03,SKU_006,WH_SOUTH,2060,0,2023-01-03,98.17
2023-01-03,SKU_007,WH_SOUTH,149,0,2023-01-03,82.09
2023-01-03,SKU_008,WH_SOUTH,1771,0,2023-01-03,83.95
2023-01-03,SKU_009,WH_SOUTH,231,0,2023-01-03,34.61
2023-01-03,SKU_010,WH_SOUTH,440,0,2023-01-03,58.78
2023-01-03,SKU_011,WH_SOUTH,447,0,2023-01-03,52.81
2023-01-03,SKU_012,WH_SOUTH,785,0,2023-01-03,94.51
2023-01-03,SKU_013,WH_SOUTH,624,0,2023-01-03,73.29
2023-01-03,SKU_014,WH_SOUTH,630,0,2023-01-03,86.71
2023-01-03,SKU_015,WH_SOUTH,574,0,2023-01-03,58.26
2023-01-03,SKU_016,WH_SOUTH,667,0,2023-01-03,42.04
2023-01-03,SKU_017,WH_SOUTH,426,0,2023-01-03,66.59
2023-01-03,SKU_018,WH_SOUTH,184,0,2023-01-03,29.79
2023-01-03,SKU_019,WH_SOUTH,657,0,2023-01-03,87.07
2023-01-03,SKU_020,WH_SOUTH,387,0,2023-01-03,72.37
2023-01-03,SKU_001,WH_EAST,161,0,2023-01-03,83.05
2023-01-03,SKU_002,WH_EAST,608,0,2023-01-03,57.92
2023-01-03,SKU_003,WH_EAST,542,0,2023-01-03,89.39
2023-01-03,SKU_004,WH_EAST,382,0,2023-01-03,77.3
2023-01-03,SKU_005,WH_EAST,374,0,2023-01-03,32.06
2023-01-03,SKU_006,WH_EAST,2029,0,2023-01-03,98.17
2023-01-03,SKU_007,WH_EAST,144,0,2023-01-03,82.09
2023-01-03,SKU_008,WH_EAST,1747,0,2023-01-03,83.95
2023-01-03,SKU_009,WH_EAST,221,0,2023-01-03,34.61
2023-01-03,SKU_010,WH_EAST,431,0,2023-01-03,58.78
2023-01-03,SKU_011,WH_EAST,1279,0,2023-01-03,52.81
2023-01-03,SKU_012,WH_EAST,749,0,2023-01-03,94.51
2023-01-03,SKU_013,WH_EAST,605,0,2023-01-03,73.29
2023-01-03,SKU_014,WH_EAST,607,0,2023-01-03,86.71
2023-01-03,SKU_015,WH_EAST,544,0,2023-01-03,58.26
2023-01-03,SKU_016,WH_EAST,644,0,2023-01-03,42.04
2023-01-03,SKU_017,WH_EAST,407,0,2023-01-03,66.59
2023-01-03,SKU_018,WH_EAST,177,0,2023-01-03,29.79
2023-01-03,SKU_019,WH_EAST,627,0,2023-01-03,87.07
2023-01-03,SKU_020,WH_EAST,1093,0,2023-01-03,72.37
2023-01-03,SKU_001,WH_WEST,155,0,2023-01-03,83.05
2023-01-03,SKU_002,WH_WEST,1773,0,2023-01-03,57.92
2023-01-03,SKU_003,WH_WEST,518,0,2023-01-03,89.39
2023-01-03,SKU_004,WH_WEST,372,0,2023-01-03,77.3
2023-01-03,SKU_005,WH_WEST,361,0,2023-01-03,32.06
2023-01-03,SKU_006,WH_WEST,1989,0,2023-01-03,98.17
2023-01-03,SKU_007,WH_WEST,139,0,2023-01-03,82.09
2023-01-03,SKU_008,WH_WEST,1723,0,2023-01-03,83.95
2023-01-03,SKU_009,WH_WEST,209,0,2023-01-03,34.61
2023-01-03,SKU_010,WH_WEST,426,0,2023-01-03,58.78
2023-01-03,SKU_011,WH_WEST,1262,0,2023-01-03,52.81
2023-01-03,SKU_012,WH_WEST,714,0,2023-01-03,94.51
2023-01-03,SKU_013,WH_WEST,574,0,2023-01-03,73.29
2023-01-03,SKU_014,WH_WEST,581,0,2023-01-03,86.71
2023-01-03,SKU_015,WH_WEST,524,0,2023-01-03,58.26
2023-01-03,SKU_016,WH_WEST,608,0,2023-01-03,42.04
2023-01-03,SKU_017,WH_WEST,385,0,2023-01-03,66.59
2023-01-03,SKU_018,WH_WEST,170,0,2023-01-03,29.79
2023-01-03,SKU_019,WH_WEST,1805,0,2023-01-03,87.07
2023-01-03,SKU_020,WH_WEST,1076,0,2023-01-03,72.37
2023-01-04,SKU_001,WH_NORTH,152,0,2023-01-04,83.05
2023-01-04,SKU_002,WH_NORTH,1745,0,2023-01-04,57.92
2023-01-04,SKU_003,WH_NORTH,496,0,2023-01-04,89.39
2023-01-04,SKU_004,WH_NORTH,356,0,2023-01-04,77.3
2023-01-04,SKU_005,WH_NORTH,337,0,2023-01-04,32.06
2023-01-04,SKU_006,WH_NORTH,1972,0,2023-01-04,98.17
2023-01-04,SKU_007,WH_NORTH,131,0,2023-01-04,82.09
2023-01-04,SKU_008,WH_NORTH,1708,0,2023-01-04,83.95
2023-01-04,SKU_009,WH_NORTH,619,0,2023-01-04,34.61
2023-01-04,SKU_010,WH_NORTH,415,0,2023-01-04,58.78
2023-01-04,SKU_011,WH_NORTH,1241,0,2023-01-04,52.81
2023-01-04,SKU_012,WH_NORTH,668,0,2023-01-04,94.51
2023-01-04,SKU_013,WH_NORTH,544,0,2023-01-04,73.29
2023-01-04,SKU_014,WH_NORTH,553,0,2023-01-04,86.71
2023-01-04,SKU_015,WH_NORTH,499,0,2023-01-04,58.26
2023-01-04,SKU_016,WH_NORTH,582,0,2023-01-04,42.04
2023-01-04,SKU_017,WH_NORTH,1120,0,2023-01-04,66.59
2023-01-04,SKU_018,WH_NORTH,164,0,2023-01-04,29.79
2023-01-04,SKU_019,WH_NORTH,1779,0,2023-01-04,87.07
2023-01-04,SKU_020,WH_NORTH,1062,0,2023-01-04,72.37
2023-01-04,SKU_001,WH_SOUTH,147,0,2023-01-04,83.05
2023-01-04,SKU_002,WH_SOUTH,1719,0,2023-01-04,57.92
2023-01-04,SKU_003,WH_SOUTH,1433,0,2023-01-04,89.39
2023-01-04,SKU_004,WH_SOUTH,343,0,2023-01-04,77.3
2023-01-04,SKU_005,WH_SOUTH,322,0,2023-01-04,32.06
2023-01-04,SKU_006,WH_SOUTH,1937,0,2023-01-04,98.17
2023-01-04,SKU_007,WH_SOUTH,123,0,2023-01-04,82.09
2023-01-04,SKU_008,WH_SOUTH,1680,0,2023-01-04,83.95
2023-01-04,SKU_009,WH_SOUTH,607,0,2023-01-04,34.61
2023-01-04,SKU_010,WH_SOUTH,411,0,2023-01-04,58.78
2023-01-04,SKU_011,WH_SOUTH,1219,0,2023-01-04,52.81
2023-01-04,SKU_012,WH_SOUTH,642,0,2023-01-04,94.51
2023-01-04,SKU_013,WH_SOUTH,520,0,2023-01-04,73.29
2023-01-04,SKU_014,WH_SOUTH,537,0,2023-01-04,86.71
2023-01-04,SKU_015,WH_SOUTH,470,0,2023-01-04,58.26
2023-01-04,SKU_016,WH_SOUTH,548,0,2023-01-04,42.04
2023-01-04,SKU_017,WH_SOUTH,1106,0,2023-01-04,66.59
2023-01-04,SKU_018,WH_SOUTH,153,0,2023-01-04,29.79
2023-01-04,SKU_019,WH_SOUTH,1752,0,2023-01-04,87.07
2023-01-04,SKU_020,WH_SOUTH,1043,0,2023-01-04,72.37
2023-01-04,SKU_001,WH_EAST,137,0,2023-01-04,83.05
2023-01-04,SKU_002,WH_EAST,1694,0,2023-01-04,57.92
2023-01-04,SKU_003,WH_EAST,1416,0,2023-01-04,89.39
2023-01-04,SKU_004,WH_EAST,320,0,2023-01-04,77.3
2023-01-04,SKU_005,WH_EAST,300,0,2023-01-04,32.06
2023-01-04,SKU_006,WH_EAST,1909,0,2023-01-04,98.17
2023-01-04,SKU_007,WH_EAST,356,0,2023-01-04,82.09
2023-01-04,SKU_008,WH_EAST,1653,0,2023-01-04,83.95
2023-01-04,SKU_009,WH_EAST,600,0,2023-01-04,34.61
2023-01-04,SKU_010,WH_EAST,403,0,2023-01-04,58.78
2023-01-04,SKU_011,WH_EAST,1190,0,2023-01-04,52.81
2023-01-04,SKU_012,WH_EAST,609,0,2023-01-04,94.51
2023-01-04,SKU_013,WH_EAST,493,0,2023-01-04,73.29
2023-01-04,SKU_014,WH_EAST,505,0,2023-01-04,86.71
2023-01-04,SKU_015,WH_EAST,1337,0,2023-01-04,58.26
2023-01-04,SKU_016,WH_EAST,534,0,2023-01-04,42.04
2023-01-04,SKU_017,WH_EAST,1082,0,2023-01-04,66.59
2023-01-04,SKU_018,WH_EAST,142,0,2023-01-04,29.79
2023-01-04,SKU_019,WH_EAST,1709,0,2023-01-04,87.07
2023-01-04,SKU_020,WH_EAST,1023,0,2023-01-04,72.37
2023-01-04,SKU_001,WH_WEST,132,0,2023-01-04,83.05
2023-01-04,SKU_002,WH_WEST,1670,0,2023-01-04,57.92
2023-01-04,SKU_003,WH_WEST,1389,0,2023-01-04,89.39
2023-01-04,SKU_004,WH_WEST,302,0,2023-01-04,77.3
2023-01-04,SKU_005,WH_WEST,289,0,2023-01-04,32.06
2023-01-04,SKU_006,WH_WEST,1878,0,2023-01-04,98.17
2023-01-04,SKU_007,WH_WEST,351,0,2023-01-04,82.09
2023-01-04,SKU_008,WH_WEST,1621,0,2023-01-04,83.95
2023-01-04,SKU_009,WH_WEST,584,0,2023-01-04,34.61
2023-01-04,SKU_010,WH_WEST,394,0,2023-01-04,58.78
2023-01-04,SKU_011,WH_WEST,1168,0,2023-01-04,52.81
2023-01-04,SKU_012,WH_WEST,567,0,2023-01-04,94.51
2023-01-04,SKU_013,WH_WEST,465,0,2023-01-04,73.29
2023-01-04,SKU_014,WH_WEST,1443,0,2023-01-04,86.71
2023-01-04,SKU_015,WH_WEST,1305,0,2023-01-04,58.26
2023-01-04,SKU_016,WH_WEST,502,0,2023-01-04,42.04
2023-01-04,SKU_017,WH_WEST,1050,0,2023-01-04,66.59
2023-01-04,SKU_018,WH_WEST,133,0,2023-01-04,29.79
2023-01-04,SKU_019,WH_WEST,1680,0,2023-01-04,87.07
2023-01-04,SKU_020,WH_WEST,1003,0,2023-01-04,72.37
2023-01-05,SKU_001,WH_NORTH,122,0,2023-01-05,83.05
2023-01-05,SKU_002,WH_NORTH,1638,0,2023-01-05,57.92
2023-01-05,SKU_003,WH_NORTH,1357,0,2023-01-05,89.39
2023-01-05,SKU_004,WH_NORTH,284,0,2023-01-05,77.3
2023-01-05,SKU_005,WH_NORTH,267,0,2023-01-05,32.06
2023-01-05,SKU_006,WH_NORTH,1838,0,2023-01-05,98.17
2023-01-05,SKU_007,WH_NORTH,341,0,2023-01-05,82.09
2023-01-05,SKU_008,WH_NORTH,1586,0,2023-01-05,83.95
2023-01-05,SKU_009,WH_NORTH,578,0,2023-01-05,34.61
2023-01-05,SKU_010,WH_NORTH,384,0,2023-01-05,58.78
2023-01-05,SKU_011,WH_NORTH,1150,0,2023-01-05,52.81
2023-01-05,SKU_012,WH_NORTH,531,0,2023-01-05,94.51
2023-01-05,SKU_013,WH_NORTH,443,0,2023-01-05,73.29
2023-01-05,SKU_014,WH_NORTH,1416,0,2023-01-05,86.71
2023-01-05,SKU_015,WH_NORTH,1277,0,2023-01-05,58.26
2023-01-05,SKU_016,WH_NORTH,479,0,2023-01-05,42.04
2023-01-05,SKU_017,WH_NORTH,1031,0,2023-01-05,66.59
2023-01-05,SKU_018,WH_NORTH,123,0,2023-01-05,29.79
2023-01-05,SKU_019,WH_NORTH,1634,0,2023-01-05,87.07
2023-01-05,SKU_020,WH_NORTH,981,0,2023-01-05,72.37
2023-01-05,SKU_001,WH_SOUTH,118,0,2023-01-05,83.05
2023-01-05,SKU_002,WH_SOUTH,1599,0,2023-01-05,57.92
2023-01-05,SKU_003,WH_SOUTH,1328,0,2023-01-05,89.39
2023-01-05,SKU_004,WH_SOUTH,821,0,2023-01-05,77.3
2023-01-05,SKU_005,WH_SOUTH,248,0,2023-01-05,32.06
2023-01-05,SKU_006,WH_SOUTH,1785,0,2023-01-05,98.17
2023-01-05,SKU_007,WH_SOUTH,331,0,2023-01-05,82.09
2023-01-05,SKU_008,WH_SOUTH,1551,0,2023-01-05,83.95
2023-01-05,SKU_009,WH_SOUTH,566,0,2023-01-05,34.61
2023-01-05,SKU_010,WH_SOUTH,376,0,2023-01-05,58.78
2023-01-05,SKU_011,WH_SOUTH,1123,0,2023-01-05,52.81
2023-01-05,SKU_012,WH_SOUTH,1495,0,2023-01-05,94.51
2023-01-05,SKU_013,WH_SOUTH,1291,0,2023-01-05,73.29
2023-01-05,SKU_014,WH_SOUTH,1389,0,2023-01-05,86.71
2023-01-05,SKU_015,WH_SOUTH,1251,0,2023-01-05,58.26
2023-01-05,SKU_016,WH_SOUTH,453,0,2023-01-05,42.04
2023-01-05,SKU_017,WH_SOUTH,1013,0,2023-01-05,66.59
2023-01-05,SKU_018,WH_SOUTH,342,0,2023-01-05,29.79
2023-01-05,SKU_019,WH_SOUTH,1586,0,2023-01-05,87.07
2023-01-05,SKU_020,WH_SOUTH,956,0,2023-01-05,72.37
2023-01-05,SKU_001,WH_EAST,110,0,2023-01-05,83.05
2023-01-05,SKU_002,WH_EAST,1581,0,2023-01-05,57.92
2023-01-05,SKU_003,WH_EAST,1305,0,2023-01-05,89.39
2023-01-05,SKU_004,WH_EAST,805,0,2023-01-05,77.3
2023-01-05,SKU_005,WH_EAST,233,0,2023-01-05,32.06
2023-01-05,SKU_006,WH_EAST,1755,0,2023-01-05,98.17
2023-01-05,SKU_007,WH_EAST,325,0,2023-01-05,82.09
2023-01-05,SKU_008,WH_EAST,1521,0,2023-01-05,83.95
2023-01-05,SKU_009,WH_EAST,549,0,2023-01-05,34.61
2023-01-05,SKU_010,WH_EAST,369,0,2023-01-05,58.78
2023-01-05,SKU_011,WH_EAST,1109,0,2023-01-05,52.81
2023-01-05,SKU_012,WH_EAST,1462,0,2023-01-05,94.51
2023-01-05,SKU_013,WH_EAST,1262,0,2023-01-05,73.29
2023-01-05,SKU_014,WH_EAST,1369,0,2023-01-05,86.71
2023-01-05,SKU_015,WH_EAST,1227,0,2023-01-05,58.26
2023-01-05,SKU_016,WH_EAST,430,0,2023-01-05,42.04
2023-01-05,SKU_017,WH_EAST,1000,0,2023-01-05,66.59
2023-01-05,SKU_018,WH_EAST,333,0,2023-01-05,29.79
2023-01-05,SKU_019,WH_EAST,1563,0,2023-01-05,87.07
2023-01-05,SKU_020,WH_EAST,940,0,2023-01-05,72.37
2023-01-05,SKU_001,WH_WEST,104,0,2023-01-05,83.05
2023-01-05,SKU_002,WH_WEST,1550,0,2023-01-05,57.92
2023-01-05,SKU_003,WH_WEST,1276,0,2023-01-05,89.39
2023-01-05,SKU_004,WH_WEST,779,0,2023-01-05,77.3
2023-01-05,SKU_005,WH_WEST,676,0,2023-01-05,32.06
2023-01-05,SKU_006,WH_WEST,1721,0,2023-01-05,98.17
