shipment_id,order_id,dispatch_date,expected_delivery_date,actual_delivery_date,delivered_qty,freight_cost,region
SHP_ORD_0000021,ORD_0000021,2023-01-02,2023-01-05,2023-01-05,8,66.0,South
SHP_ORD_0000022,ORD_0000022,2023-01-02,2023-01-07,2023-01-07,34,118.0,South
SHP_ORD_0000023,ORD_0000023,2023-01-03,2023-01-06,2023-01-06,24,98.0,South
SHP_ORD_0000024,ORD_0000024,2023-01-03,2023-01-05,2023-01-05,24,98.0,South
SHP_ORD_0000025,ORD_0000025,2023-01-03,2023-01-05,2023-01-05,25,100.0,South
SHP_ORD_0000026,ORD_0000026,2023-01-03,2023-01-07,2023-01-07,57,164.0,South
SHP_ORD_0000027,ORD_0000027,2023-01-02,2023-01-07,2023-01-07,10,70.0,South
SHP_ORD_0000028,ORD_0000028,2023-01-03,2023-01-07,2023-01-07,44,138.0,South
SHP_ORD_0000029,ORD_0000029,2023-01-02,2023-01-04,2023-01-04,15,80.0,South
SHP_ORD_0000030,ORD_0000030,2023-01-03,2023-01-06,2023-01-06,8,66.0,South
SHP_ORD_0000031,ORD_0000031,2023-01-02,2023-01-07,2023-01-07,28,106.0,South
SHP_ORD_0000032,ORD_0000032,2023-01-03,2023-01-07,2023-01-07,54,158.0,South
SHP_ORD_0000033,ORD_0000033,2023-01-03,2023-01-06,2023-01-08,33,174.0,South
SHP_ORD_0000034,ORD_0000034,2023-01-02,2023-01-05,2023-01-05,33,116.0,South
SHP_ORD_0000035,ORD_0000035,2023-01-02,2023-01-04,2023-01-05,28,159.0,South
SHP_ORD_0000036,ORD_0000036,2023-01-03,2023-01-06,2023-01-06,47,144.0,South
SHP_ORD_0000037,ORD_0000037,2023-01-02,2023-01-06,2023-01-06,27,104.0,South
SHP_ORD_0000038,ORD_0000038,2023-01-03,2023-01-07,2023-01-07,13,76.0,South
SHP_ORD_0000039,ORD_0000039,2023-01-02,2023-01-07,2023-01-07,38,126.0,South
SHP_ORD_0000040,ORD_0000040,2023-01-02,2023-01-04,2023-01-07,28,159.0,South
SHP_ORD_0000041,ORD_0000041,2023-01-03,2023-01-07,2023-01-07,8,66.0,East
SHP_ORD_0000042,ORD_0000042,2023-01-02,2023-01-07,2023-01-07,39,128.0,East
SHP_ORD_0000043,ORD_0000043,2023-01-02,2023-01-05,2023-01-05,26,102.0,East
SHP_ORD_0000044,ORD_0000044,2023-01-02,2023-01-04,2023-01-04,18,86.0,East
SHP_ORD_0000045,ORD_0000045,2023-01-02,2023-01-06,2023-01-08,27,156.0,East
SHP_ORD_0000046,ORD_0000046,2023-01-02,2023-01-07,2023-01-07,36,122.0,East
SHP_ORD_0000047,ORD_0000047,2023-01-02,2023-01-06,2023-01-06,12,74.0,East
SHP_ORD_0000048,ORD_0000048,2023-01-03,2023-01-08,2023-01-08,38,126.0,East
SHP_ORD_0000049,ORD_0000049,2023-01-02,2023-01-06,2023-01-06,9,68.0,East
SHP_ORD_0000050,ORD_0000050,2023-01-03,2023-01-06,2023-01-08,11,108.0,East
SHP_ORD_0000051,ORD_0000051,2023-01-03,2023-01-07,2023-01-07,29,108.0,East
SHP_ORD_0000052,ORD_0000052,2023-01-02,2023-01-07,2023-01-07,58,166.0,East
SHP_ORD_0000053,ORD_0000053,2023-01-03,2023-01-06,2023-01-06,36,122.0,East
SHP_ORD_0000054,ORD_0000054,2023-01-03,2023-01-06,2023-01-06,38,126.0,East
SHP_ORD_0000055,ORD_0000055,2023-01-03,2023-01-06,2023-01-06,44,138.0,East
SHP_ORD_0000056,ORD_0000056,2023-01-03,2023-01-05,2023-01-07,35,180.0,East
SHP_ORD_0000057,ORD_0000057,2023-01-03,2023-01-05,2023-01-05,32,114.0,East
SHP_ORD_0000058,ORD_0000058,2023-01-02,2023-01-05,2023-01-05,6,62.0,East
SHP_ORD_0000059,ORD_0000059,2023-01-03,2023-01-05,2023-01-05,45,140.0,East
SHP_ORD_0000060,ORD_0000060,2023-01-03,2023-01-05,2023-01-05,31,112.0,East
SHP_ORD_0000061,ORD_0000061,2023-01-03,2023-01-07,2023-01-07,5,60.0,West
SHP_ORD_0000062,ORD_0000062,2023-01-03,2023-01-07,2023-01-08,19,132.0,West
SHP_ORD_0000063,ORD_0000063,2023-01-03,2023-01-06,2023-01-09,16,123.0,West
SHP_ORD_0000064,ORD_0000064,2023-01-03,2023-01-06,2023-01-06,22,94.0,West
SHP_ORD_0000065,ORD_0000065,2023-01-02,2023-01-06,2023-01-06,17,84.0,West
SHP_ORD_0000066,ORD_0000066,2023-01-03,2023-01-06,2023-01-06,20,90.0,West
SHP_ORD_0000067,ORD_0000067,2023-01-03,2023-01-07,2023-01-07,5,60.0,West
SHP_ORD_0000068,ORD_0000068,2023-01-02,2023-01-04,2023-01-04,29,108.0,West
SHP_ORD_0000069,ORD_0000069,2023-01-02,2023-01-07,2023-01-07,15,80.0,West
SHP_ORD_0000070,ORD_0000070,2023-01-02,2023-01-06,2023-01-06,13,76.0,West
SHP_ORD_0000071,ORD_0000071,2023-01-03,2023-01-07,2023-01-07,20,90.0,West
SHP_ORD_0000072,ORD_0000072,2023-01-02,2023-01-06,2023-01-06,34,118.0,West
SHP_ORD_0000073,ORD_0000073,2023-01-03,2023-01-08,2023-01-08,29,108.0,West
SHP_ORD_0000074,ORD_0000074,2023-01-03,2023-01-08,2023-01-08,26,102.0,West
SHP_ORD_0000075,ORD_0000075,2023-01-02,2023-01-04,2023-01-04,27,104.0,West
SHP_ORD_0000076,ORD_0000076,2023-01-03,2023-01-06,2023-01-06,30,110.0,West
SHP_ORD_0000077,ORD_0000077,2023-01-02,2023-01-07,2023-01-07,30,110.0,West
SHP_ORD_0000078,ORD_0000078,2023-01-02,2023-01-07,2023-01-07,12,74.0,West
SHP_ORD_0000079,ORD_0000079,2023-01-03,2023-01-07,2023-01-07,36,122.0,West
SHP_ORD_0000080,ORD_0000080,2023-01-03,2023-01-08,2023-01-08,23,96.0,West
SHP_ORD_0000081,ORD_0000081,2023-01-04,2023-01-06,2023-01-06,11,72.0,North
SHP_ORD_0000082,ORD_0000082,2023-01-04,2023-01-09,2023-01-09,34,118.0,North
SHP_ORD_0000083,ORD_0000083,2023-01-03,2023-01-07,2023-01-07,28,106.0,North
SHP_ORD_0000084,ORD_0000084,2023-01-03,2023-01-08,2023-01-08,24,98.0,North
SHP_ORD_0000085,ORD_0000085,2023-01-03,2023-01-06,2023-01-06,20,90.0,North
SHP_ORD_0000086,ORD_0000086,2023-01-03,2023-01-07,2023-01-07,47,144.0,North
SHP_ORD_0000087,ORD_0000087,2023-01-04,2023-01-06,2023-01-06,9,68.0,North
SHP_ORD_0000088,ORD_0000088,2023-01-03,2023-01-06,2023-01-06,28,106.0,North
SHP_ORD_0000089,ORD_0000089,2023-01-04,2023-01-06,2023-01-06,8,66.0,North
SHP_ORD_0000090,ORD_0000090,2023-01-03,2023-01-08,2023-01-08,15,80.0,North
SHP_ORD_0000091,ORD_0000091,2023-01-04,2023-01-06,2023-01-06,25,100.0,North
SHP_ORD_0000092,ORD_0000092,2023-01-04,2023-01-09,2023-01-09,48,146.0,North
SHP_ORD_0000093,ORD_0000093,2023-01-03,2023-01-06,2023-01-06,31,112.0,North
SHP_ORD_0000094,ORD_0000094,2023-01-03,2023-01-08,2023-01-08,29,108.0,North
SHP_ORD_0000095,ORD_0000095,2023-01-03,2023-01-05,2023-01-06,35,180.0,North
SHP_ORD_0000096,ORD_0000096,2023-01-03,2023-01-05,2023-01-05,30,110.0,North
SHP_ORD_0000097,ORD_0000097,2023-01-04,2023-01-07,2023-01-07,26,102.0,North
SHP_ORD_0000098,ORD_0000098,2023-01-04,2023-01-09,2023-01-09,4,58.0,North
SHP_ORD_0000099,ORD_0000099,2023-01-04,2023-01-09,2023-01-09,41,132.0,North
SHP_ORD_0000100,ORD_0000100,2023-01-04,2023-01-06,2023-01-06,29,108.0,North
SHP_ORD_0000101,ORD_0000101,2023-01-04,2023-01-07,2023-01-07,1,52.0,South
SHP_ORD_0000102,ORD_0000102,2023-01-03,2023-01-05,2023-01-05,26,102.0,South
SHP_ORD_0000103,ORD_0000103,2023-01-03,2023-01-05,2023-01-05,18,86.0,South
SHP_ORD_0000104,ORD_0000104,2023-01-03,2023-01-06,2023-01-06,6,62.0,South
SHP_ORD_0000105,ORD_0000105,2023-01-04,2023-01-09,2023-01-12,10,105.0,South
SHP_ORD_0000106,ORD_0000106,2023-01-03,2023-01-07,2023-01-07,31,112.0,South
SHP_ORD_0000107,ORD_0000107,2023-01-04,2023-01-06,2023-01-06,8,66.0,South
SHP_ORD_0000108,ORD_0000108,2023-01-03,2023-01-08,2023-01-08,25,100.0,South
SHP_ORD_0000109,ORD_0000109,2023-01-03,2023-01-08,2023-01-08,10,70.0,South
SHP_ORD_0000110,ORD_0000110,2023-01-03,2023-01-06,2023-01-06,9,68.0,South
SHP_ORD_0000111,ORD_0000111,2023-01-04,2023-01-06,2023-01-06,12,74.0,South
SHP_ORD_0000112,ORD_0000112,2023-01-03,2023-01-08,2023-01-08,27,104.0,South
SHP_ORD_0000113,ORD_0000113,2023-01-03,2023-01-05,2023-01-05,23,96.0,South
SHP_ORD_0000114,ORD_0000114,2023-01-04,2023-01-08,2023-01-08,27,104.0,South
SHP_ORD_0000115,ORD_0000115,2023-01-04,2023-01-08,2023-01-08,22,94.0,South
SHP_ORD_0000116,ORD_0000116,2023-01-03,2023-01-06,2023-01-06,27,104.0,South
SHP_ORD_0000117,ORD_0000117,2023-01-03,2023-01-07,2023-01-07,17,84.0,South
SHP_ORD_0000118,ORD_0000118,2023-01-03,2023-01-06,2023-01-06,11,72.0,South
SHP_ORD_0000119,ORD_0000119,2023-01-03,2023-01-05,2023-01-05,36,122.0,South
SHP_ORD_0000120,ORD_0000120,2023-01-04,2023-01-09,2023-01-09,16,82.0,South
SHP_ORD_0000121,ORD_0000121,2023-01-04,2023-01-06,2023-01-06,5,60.0,East
SHP_ORD_0000122,ORD_0000122,2023-01-03,2023-01-05,2023-01-05,24,98.0,East
SHP_ORD_0000123,ORD_0000123,2023-01-03,2023-01-06,2023-01-06,18,86.0,East
SHP_ORD_0000124,ORD_0000124,2023-01-04,2023-01-09,2023-01-09,20,90.0,East
SHP_ORD_0000125,ORD_0000125,2023-01-03,2023-01-06,2023-01-06,15,80.0,East
SHP_ORD_0000126,ORD_0000126,2023-01-03,2023-01-05,2023-01-08,31,168.0,East
SHP_ORD_0000127,ORD_0000127,2023-01-03,2023-01-08,2023-01-08,9,68.0,East
SHP_ORD_0000128,ORD_0000128,2023-01-03,2023-01-07,2023-01-07,21,92.0,East
SHP_ORD_0000129,ORD_0000129,2023-01-04,2023-01-09,2023-01-09,6,62.0,East
SHP_ORD_0000130,ORD_0000130,2023-01-03,2023-01-07,2023-01-07,8,66.0,East
SHP_ORD_0000131,ORD_0000131,2023-01-04,2023-01-08,2023-01-08,23,96.0,East
SHP_ORD_0000132,ORD_0000132,2023-01-03,2023-01-08,2023-01-08,33,116.0,East
SHP_ORD_0000133,ORD_0000133,2023-01-03,2023-01-07,2023-01-07,14,78.0,East
SHP_ORD_0000134,ORD_0000134,2023-01-04,2023-01-07,2023-01-07,24,98.0,East
SHP_ORD_0000135,ORD_0000135,2023-01-03,2023-01-08,2023-01-08,27,104.0,East
SHP_ORD_0000136,ORD_0000136,2023-01-04,2023-01-06,2023-01-09,19,132.0,East
SHP_ORD_0000137,ORD_0000137,2023-01-04,2023-01-06,2023-01-06,25,100.0,East
SHP_ORD_0000138,ORD_0000138,2023-01-04,2023-01-09,2023-01-09,9,68.0,East
SHP_ORD_0000139,ORD_0000139,2023-01-03,2023-01-08,2023-01-08,36,122.0,East
SHP_ORD_0000140,ORD_0000140,2023-01-04,2023-01-08,2023-01-08,25,100.0,East
SHP_ORD_0000141,ORD_0000141,2023-01-04,2023-01-06,2023-01-06,8,66.0,West
SHP_ORD_0000142,ORD_0000142,2023-01-03,2023-01-07,2023-01-07,26,102.0,West
SHP_ORD_0000143,ORD_0000143,2023-01-04,2023-01-07,2023-01-07,37,124.0,West
SHP_ORD_0000144,ORD_0000144,2023-01-04,2023-01-08,2023-01-08,17,84.0,West
SHP_ORD_0000145,ORD_0000145,2023-01-03,2023-01-05,2023-01-05,23,96.0,West
SHP_ORD_0000146,ORD_0000146,2023-01-03,2023-01-06,2023-01-06,34,118.0,West
SHP_ORD_0000147,ORD_0000147,2023-01-03,2023-01-06,2023-01-06,15,80.0,West
SHP_ORD_0000148,ORD_0000148,2023-01-04,2023-01-07,2023-01-07,22,94.0,West
SHP_ORD_0000149,ORD_0000149,2023-01-03,2023-01-07,2023-01-07,15,80.0,West
SHP_ORD_0000150,ORD_0000150,2023-01-04,2023-01-09,2023-01-09,10,70.0,West
SHP_ORD_0000151,ORD_0000151,2023-01-04,2023-01-07,2023-01-07,21,92.0,West
SHP_ORD_0000152,ORD_0000152,2023-01-03,2023-01-07,2023-01-07,31,112.0,West
SHP_ORD_0000153,ORD_0000153,2023-01-03,2023-01-07,2023-01-07,34,118.0,West
SHP_ORD_0000154,ORD_0000154,2023-01-04,2023-01-08,2023-01-08,39,128.0,West
SHP_ORD_0000155,ORD_0000155,2023-01-03,2023-01-06,2023-01-06,35,120.0,West
SHP_ORD_0000156,ORD_0000156,2023-01-03,2023-01-05,2023-01-05,28,106.0,West
SHP_ORD_0000157,ORD_0000157,2023-01-04,2023-01-09,2023-01-12,23,144.0,West
SHP_ORD_0000158,ORD_0000158,2023-01-04,2023-01-08,2023-01-08,10,70.0,West
SHP_ORD_0000159,ORD_0000159,2023-01-03,2023-01-07,2023-01-07,36,122.0,West
SHP_ORD_0000160,ORD_0000160,2023-01-03,2023-01-05,2023-01-05,18,86.0,West
SHP_ORD_0000161,ORD_0000161,2023-01-05,2023-01-08,2023-01-08,7,64.0,North
SHP_ORD_0000162,ORD_0000162,2023-01-05,2023-01-10,2023-01-10,29,108.0,North
SHP_ORD_0000163,ORD_0000163,2023-01-05,2023-01-09,2023-01-11,21,138.0,North
SHP_ORD_0000164,ORD_0000164,2023-01-04,2023-01-06,2023-01-06,16,82.0,North
SHP_ORD_0000165,ORD_0000165,2023-01-04,2023-01-08,2023-01-08,15,80.0,North
SHP_ORD_0000166,ORD_0000166,2023-01-05,2023-01-09,2023-01-09,23,96.0,North
SHP_ORD_0000167,ORD_0000167,2023-01-05,2023-01-10,2023-01-10,9,68.0,North
SHP_ORD_0000168,ORD_0000168,2023-01-04,2023-01-08,2023-01-08,22,94.0,North
SHP_ORD_0000169,ORD_0000169,2023-01-05,2023-01-07,2023-01-07,12,74.0,North
SHP_ORD_0000170,ORD_0000170,2023-01-05,2023-01-07,2023-01-07,9,68.0,North
SHP_ORD_0000171,ORD_0000171,2023-01-05,2023-01-08,2023-01-08,19,88.0,North
SHP_ORD_0000172,ORD_0000172,2023-01-04,2023-01-08,2023-01-08,24,98.0,North
SHP_ORD_0000173,ORD_0000173,2023-01-05,2023-01-10,2023-01-10,21,92.0,North
SHP_ORD_0000174,ORD_0000174,2023-01-05,2023-01-08,2023-01-08,25,100.0,North
SHP_ORD_0000175,ORD_0000175,2023-01-05,2023-01-08,2023-01-08,22,94.0,North
SHP_ORD_0000176,ORD_0000176,2023-01-05,2023-01-07,2023-01-07,19,88.0,North
SHP_ORD_0000177,ORD_0000177,2023-01-05,2023-01-08,2023-01-08,15,80.0,North
SHP_ORD_0000178,ORD_0000178,2023-01-04,2023-01-08,2023-01-08,2,54.0,North
SHP_ORD_0000179,ORD_0000179,2023-01-05,2023-01-10,2023-01-10,21,92.0,North
SHP_ORD_0000180,ORD_0000180,2023-01-05,2023-01-08,2023-01-08,17,84.0,North
SHP_ORD_0000181,ORD_0000181,2023-01-05,2023-01-10,2023-01-10,8,66.0,South
SHP_ORD_0000182,ORD_0000182,2023-01-05,2023-01-10,2023-01-10,38,126.0,South
SHP_ORD_0000183,ORD_0000183,2023-01-04,2023-01-09,2023-01-09,24,98.0,South
SHP_ORD_0000184,ORD_0000184,2023-01-04,2023-01-06,2023-01-06,12,74.0,South
SHP_ORD_0000185,ORD_0000185,2023-01-04,2023-01-08,2023-01-09,19,132.0,South
SHP_ORD_0000186,ORD_0000186,2023-01-04,2023-01-07,2023-01-07,32,114.0,South
SHP_ORD_0000187,ORD_0000187,2023-01-04,2023-01-07,2023-01-07,4,58.0,South
SHP_ORD_0000188,ORD_0000188,2023-01-04,2023-01-08,2023-01-08,26,102.0,South
SHP_ORD_0000189,ORD_0000189,2023-01-05,2023-01-09,2023-01-09,14,78.0,South
SHP_ORD_0000190,ORD_0000190,2023-01-04,2023-01-06,2023-01-06,6,62.0,South
SHP_ORD_0000191,ORD_0000191,2023-01-05,2023-01-10,2023-01-10,18,86.0,South
SHP_ORD_0000192,ORD_0000192,2023-01-05,2023-01-09,2023-01-09,28,106.0,South
SHP_ORD_0000193,ORD_0000193,2023-01-05,2023-01-07,2023-01-09,31,168.0,South
SHP_ORD_0000194,ORD_0000194,2023-01-05,2023-01-07,2023-01-07,25,100.0,South
SHP_ORD_0000195,ORD_0000195,2023-01-04,2023-01-06,2023-01-06,28,106.0,South
SHP_ORD_0000196,ORD_0000196,2023-01-05,2023-01-07,2023-01-07,22,94.0,South
SHP_ORD_0000197,ORD_0000197,2023-01-04,2023-01-08,2023-01-09,11,108.0,South
SHP_ORD_0000198,ORD_0000198,2023-01-04,2023-01-09,2023-01-09,2,54.0,South
SHP_ORD_0000199,ORD_0000199,2023-01-05,2023-01-08,2023-01-11,38,189.0,South
SHP_ORD_0000200,ORD_0000200,2023-01-05,2023-01-10,2023-01-10,20,90.0,South
SHP_ORD_0000201,ORD_0000201,2023-01-05,2023-01-09,2023-01-09,4,58.0,East
SHP_ORD_0000202,ORD_0000202,2023-01-04,2023-01-06,2023-01-06,26,102.0,East
SHP_ORD_0000203,ORD_0000203,2023-01-04,2023-01-06,2023-01-06,28,106.0,East
SHP_ORD_0000204,ORD_0000204,2023-01-05,2023-01-09,2023-01-09,17,84.0,East
SHP_ORD_0000205,ORD_0000205,2023-01-04,2023-01-09,2023-01-09,14,78.0,East
SHP_ORD_0000206,ORD_0000206,2023-01-05,2023-01-09,2023-01-09,31,112.0,East
SHP_ORD_0000207,ORD_0000207,2023-01-04,2023-01-07,2023-01-07,5,60.0,East
SHP_ORD_0000208,ORD_0000208,2023-01-05,2023-01-10,2023-01-10,24,98.0,East
SHP_ORD_0000209,ORD_0000209,2023-01-05,2023-01-07,2023-01-07,10,70.0,East
SHP_ORD_0000210,ORD_0000210,2023-01-04,2023-01-06,2023-01-06,9,68.0,East
SHP_ORD_0000211,ORD_0000211,2023-01-04,2023-01-08,2023-01-08,24,98.0,East
SHP_ORD_0000212,ORD_0000212,2023-01-04,2023-01-06,2023-01-06,36,122.0,East
SHP_ORD_0000213,ORD_0000213,2023-01-04,2023-01-09,2023-01-09,19,88.0,East
SHP_ORD_0000214,ORD_0000214,2023-01-05,2023-01-10,2023-01-10,23,96.0,East
SHP_ORD_0000215,ORD_0000215,2023-01-05,2023-01-09,2023-01-09,30,110.0,East
SHP_ORD_0000216,ORD_0000216,2023-01-04,2023-01-09,2023-01-09,23,96.0,East
SHP_ORD_0000217,ORD_0000217,2023-01-04,2023-01-08,2023-01-08,19,88.0,East
SHP_ORD_0000218,ORD_0000218,2023-01-04,2023-01-08,2023-01-08,7,64.0,East
SHP_ORD_0000219,ORD_0000219,2023-01-04,2023-01-06,2023-01-06,30,110.0,East
SHP_ORD_0000220,ORD_0000220,2023-01-05,2023-01-08,2023-01-08,26,102.0,East
SHP_ORD_0000221,ORD_0000221,2023-01-04,2023-01-06,2023-01-06,6,62.0,West
SHP_ORD_0000222,ORD_0000222,2023-01-05,2023-01-08,2023-01-08,21,92.0,West
SHP_ORD_0000223,ORD_0000223,2023-01-05,2023-01-08,2023-01-08,24,98.0,West
SHP_ORD_0000224,ORD_0000224,2023-01-04,2023-01-08,2023-01-08,10,70.0,West
SHP_ORD_0000225,ORD_0000225,2023-01-04,2023-01-07,2023-01-07,13,76.0,West
SHP_ORD_0000226,ORD_0000226,2023-01-05,2023-01-09,2023-01-12,40,195.0,West
SHP_ORD_0000227,ORD_0000227,2023-01-04,2023-01-07,2023-01-07,5,60.0,West
SHP_ORD_0000228,ORD_0000228,2023-01-04,2023-01-06,2023-01-06,24,98.0,West
SHP_ORD_0000229,ORD_0000229,2023-01-05,2023-01-09,2023-01-09,12,74.0,West
SHP_ORD_0000230,ORD_0000230,2023-01-05,2023-01-09,2023-01-11,5,90.0,West
SHP_ORD_0000231,ORD_0000231,2023-01-04,2023-01-08,2023-01-08,17,84.0,West
SHP_ORD_0000232,ORD_0000232,2023-01-05,2023-01-09,2023-01-09,35,120.0,West
SHP_ORD_0000233,ORD_0000233,2023-01-05,2023-01-09,2023-01-09,31,112.0,West
SHP_ORD_0000234,ORD_0000234,2023-01-05,2023-01-10,2023-01-10,26,102.0,West
SHP_ORD_0000235,ORD_0000235,2023-01-05,2023-01-09,2023-01-09,20,90.0,West
SHP_ORD_0000236,ORD_0000236,2023-01-04,2023-01-09,2023-01-11,36,183.0,West
SHP_ORD_0000237,ORD_0000237,2023-01-05,2023-01-07,2023-01-08,22,141.0,West
SHP_ORD_0000238,ORD_0000238,2023-01-05,2023-01-07,2023-01-07,7,64.0,West
SHP_ORD_0000239,ORD_0000239,2023-01-05,2023-01-08,2023-01-08,40,130.0,West
SHP_ORD_0000240,ORD_0000240,2023-01-05,2023-01-08,2023-01-08,17,84.0,West
SHP_ORD_0000241,ORD_0000241,2023-01-06,2023-01-08,2023-01-08,3,56.0,North
SHP_ORD_0000242,ORD_0000242,2023-01-06,2023-01-11,2023-01-11,28,106.0,North
SHP_ORD_0000243,ORD_0000243,2023-01-06,2023-01-08,2023-01-08,22,94.0,North
SHP_ORD_0000244,ORD_0000244,2023-01-06,2023-01-08,2023-01-08,16,82.0,North
SHP_ORD_0000245,ORD_0000245,2023-01-06,2023-01-11,2023-01-11,24,98.0,North
SHP_ORD_0000246,ORD_0000246,2023-01-05,2023-01-10,2023-01-10,17,84.0,North
SHP_ORD_0000247,ORD_0000247,2023-01-06,2023-01-10,2023-01-10,8,66.0,North
SHP_ORD_0000248,ORD_0000248,2023-01-06,2023-01-09,2023-01-09,15,80.0,North
SHP_ORD_0000249,ORD_0000249,2023-01-05,2023-01-07,2023-01-07,6,62.0,North
SHP_ORD_0000250,ORD_0000250,2023-01-06,2023-01-10,2023-01-10,11,72.0,North
SHP_ORD_0000251,ORD_0000251,2023-01-06,2023-01-08,2023-01-08,21,92.0,North
SHP_ORD_0000252,ORD_0000252,2023-01-06,2023-01-11,2023-01-11,46,142.0,North
SHP_ORD_0000253,ORD_0000253,2023-01-05,2023-01-10,2023-01-10,30,110.0,North
SHP_ORD_0000254,ORD_0000254,2023-01-06,2023-01-08,2023-01-08,28,106.0,North
SHP_ORD_0000255,ORD_0000255,2023-01-06,2023-01-09,2023-01-12,25,150.0,North
SHP_ORD_0000256,ORD_0000256,2023-01-06,2023-01-09,2023-01-09,26,102.0,North
SHP_ORD_0000257,ORD_0000257,2023-01-05,2023-01-08,2023-01-08,17,84.0,North
SHP_ORD_0000258,ORD_0000258,2023-01-05,2023-01-10,2023-01-10,6,62.0,North
SHP_ORD_0000259,ORD_0000259,2023-01-05,2023-01-07,2023-01-07,26,102.0,North
SHP_ORD_0000260,ORD_0000260,2023-01-05,2023-01-10,2023-01-10,14,78.0,North
SHP_ORD_0000261,ORD_0000261,2023-01-06,2023-01-08,2023-01-08,5,60.0,South
SHP_ORD_0000262,ORD_0000262,2023-01-05,2023-01-10,2023-01-10,26,102.0,South
SHP_ORD_0000263,ORD_0000263,2023-01-06,2023-01-10,2023-01-10,33,116.0,South
SHP_ORD_0000264,ORD_0000264,2023-01-06,2023-01-11,2023-01-14,13,114.0,South
SHP_ORD_0000265,ORD_0000265,2023-01-06,2023-01-10,2023-01-10,15,80.0,South
SHP_ORD_0000266,ORD_0000266,2023-01-06,2023-01-11,2023-01-11,35,120.0,South
SHP_ORD_0000267,ORD_0000267,2023-01-06,2023-01-11,2023-01-11,8,66.0,South
SHP_ORD_0000268,ORD_0000268,2023-01-05,2023-01-09,2023-01-09,28,106.0,South
SHP_ORD_0000269,ORD_0000269,2023-01-05,2023-01-09,2023-01-09,12,74.0,South
SHP_ORD_0000270,ORD_0000270,2023-01-05,2023-01-08,2023-01-08,4,58.0,South
SHP_ORD_0000271,ORD_0000271,2023-01-06,2023-01-10,2023-01-10,22,94.0,South
SHP_ORD_0000272,ORD_0000272,2023-01-05,2023-01-08,2023-01-08,26,102.0,South
SHP_ORD_0000273,ORD_0000273,2023-01-06,2023-01-10,2023-01-10,24,98.0,South
SHP_ORD_0000274,ORD_0000274,2023-01-05,2023-01-08,2023-01-08,16,82.0,South
SHP_ORD_0000275,ORD_0000275,2023-01-05,2023-01-07,2023-01-07,29,108.0,South
SHP_ORD_0000276,ORD_0000276,2023-01-06,2023-01-09,2023-01-09,34,118.0,South
SHP_ORD_0000277,ORD_0000277,2023-01-05,2023-01-09,2023-01-11,14,117.0,South
SHP_ORD_0000278,ORD_0000278,2023-01-05,2023-01-09,2023-01-09,11,72.0,South
SHP_ORD_0000279,ORD_0000279,2023-01-06,2023-01-11,2023-01-11,27,104.0,South
SHP_ORD_0000280,ORD_0000280,2023-01-06,2023-01-11,2023-01-11,19,88.0,South
SHP_ORD_0000281,ORD_0000281,2023-01-06,2023-01-10,2023-01-10,10,70.0,East
SHP_ORD_0000282,ORD_0000282,2023-01-06,2023-01-10,2023-01-10,25,100.0,East
SHP_ORD_0000283,ORD_0000283,2023-01-06,2023-01-08,2023-01-08,17,84.0,East
